Progress,Duration (in seconds),Finished,QID1,Q1,Q2,Q2_4_TEXT,Q3,Q4,Q4_10_TEXT,Q5,Q6,Q6_8_TEXT,Q7,Q8,Q8_5_TEXT,Q9,Q9_5_TEXT,Q10,Q11,Q11_7_TEXT,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q13_1,Q13_2,Q13_3,Q13_4,Q14_1,Q15_1,Q16_1,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q18
Progress,Duration (in seconds),Finished,"Welcome to our COVID-19 apps survey

Identification of Researchers: This research is being done by S M Taiabul Haque, Tanusreee Sharma, Md Mirajul Islam, Anupam Das, and Ishtiaque Ahmed. We are with the University of Central Missouri, the University of Illinois at Urbana-Champaign, North Carolina State University, and the University of Toronto.

Purpose of the Study: The purpose of this study is to find out user perceptions of COVID-19 (popularly known as coronavirus) tracking smartphone apps.

Request for Participation: We are inviting you to participate in a study on coronavirus tracking smartphone apps. It is up to you whether you would like to participate. If you decide not to participate, you will not be penalized in any way. You can also decide to stop at any time without penalty. If you do not wish to answer any of the questions, you may simply skip them. Once you submit an anonymous survey, we will not know which survey is yours.

Exclusions: You must be at least 18 years of age and use a smartphone at least once a day to participate in this study.

Description of Research Method: This study involves completing an anonymous survey about user perceptions of coronavirus tracking smartphone apps. The survey will ask you about your opinions about these apps. The survey will take about ten minutes to finish.

Privacy: All of the information we collect will be anonymous. We will not record your name or any information that could be used to identify you. Your confidentiality will be maintained to the degree permitted by the technology used. Specifically, no guarantees can be made regarding the interception of the data sent via the Internet by any third parties.

Explanation of Risks: The risks associated with participating in this study are similar to the risks of everyday life.

Explanation of Benefits: You will benefit from participating in this study by knowing more about coronavirus tracking smartphone apps.

Questions: If you have any questions about this study, please contact S M Taiabul Haque at haque@ucmo.edu. If you have any questions about your rights as as a research participant, please contact the UCM Research Compliance Officer (+1) (660) 543-8562.

 

Please click the following indicating your choice to be in this study:",In which country do you currently reside?,What is your gender? - Selected Choice,What is your gender? - Other - Text,How old are you?,What is your highest academic degree? - Selected Choice,What is your highest academic degree? - Other - Text,Have you used any apps related to coronavirus?,Why have you not used any apps related to coronavirus? (Check all that apply) - Selected Choice,Why have you not used any apps related to coronavirus? (Check all that apply) - Other - Text,What would reduce your concerns in using a COVID-19 app?,What made you install the app? (Check all that apply) - Selected Choice,What made you install the app? (Check all that apply) - Other - Text,What type of coronavirus related app are you using? (Check all that apply) - Selected Choice,What type of coronavirus related app are you using? (Check all that apply) - Other - Text,"If you had or have concerns, what outweighed the concerns and led you to the decision to download and use the app?",Under what circumstances would you delete the app? (Check all that apply) - Selected Choice,Under what circumstances would you delete the app? (Check all that apply) - Other - Text,"For each of the following type of information, please rate how comfortable you are in sharing such information with a COVID-19 app? - Personal information (name, email address, national ID number, etc.)","For each of the following type of information, please rate how comfortable you are in sharing such information with a COVID-19 app? - Your location","For each of the following type of information, please rate how comfortable you are in sharing such information with a COVID-19 app? - Your phone contacts","For each of the following type of information, please rate how comfortable you are in sharing such information with a COVID-19 app? - Phone number","For each of the following type of information, please rate how comfortable you are in sharing such information with a COVID-19 app? - Any health-related information provided by you (blood oxygen level, body temperature, etc.)","For each of the following entities, please rate to what extent you agree or disagree that such entities will protect user data collected through a COVID-19 app. - A university research group","For each of the following entities, please rate to what extent you agree or disagree that such entities will protect user data collected through a COVID-19 app. - An industry startup","For each of the following entities, please rate to what extent you agree or disagree that such entities will protect user data collected through a COVID-19 app. - A healthcare provider","For each of the following entities, please rate to what extent you agree or disagree that such entities will protect user data collected through a COVID-19 app. - Large corporations (Apple, Google etc.)","Please rate to what degree you agree or disagree to the following statement - ""I think the government of my country of residence will ONLY use the data collected from these apps for the intended purpose of tracking coronavirus."" - 1","Please rate to what degree you agree or disagree to the following statement - ""I think the government of my country of residence will DELETE the data collected from the apps after the coronavirus pandemic ends."" - 1","Through smartphone contact tracing technology, it is possible to keep track of people with whom you had been in close physical proximity (within 6 feet or 2 meters), without tracking your location. This information can later be used to reconstruct close encounters of a patient who tests positive for coronavirus. 
Imagine that your smartphone manufacturer or operating system uses this technology to obtain information about your close physical encounters with people in your social or other circle for the purpose of mitigating coronavirus. How comfortable would you be with this? - 1","Suppose your cell phone carrier or mobile operating system start sharing this contact tracing data with different entities, ONLY if you test positive for coronavirus. 

Please rate how comfortable you would be in sharing your tracing data with each of the following entities? - A university research group","Suppose your cell phone carrier or mobile operating system start sharing this contact tracing data with different entities, ONLY if you test positive for coronavirus. 

Please rate how comfortable you would be in sharing your tracing data with each of the following entities? - An industry startup","Suppose your cell phone carrier or mobile operating system start sharing this contact tracing data with different entities, ONLY if you test positive for coronavirus. 

Please rate how comfortable you would be in sharing your tracing data with each of the following entities? - A healthcare provider","Suppose your cell phone carrier or mobile operating system start sharing this contact tracing data with different entities, ONLY if you test positive for coronavirus. 

Please rate how comfortable you would be in sharing your tracing data with each of the following entities? - Large corporations (Apple, Google etc.)","Suppose your cell phone carrier or mobile operating system start sharing this contact tracing data with different entities, ONLY if you test positive for coronavirus. 

Please rate how comfortable you would be in sharing your tracing data with each of the following entities? - Government",Anything else you would like to say about COIVD-19 apps and/or your concerns?
100,460,TRUE,Yes,Bangladesh,Male,,25-34 years old,Bachelor's degree,,Yes,,,,Instruction from the government,,"Coronavirus information app (apps that provide information, i.e., apps with map, visualization etc),Self-assessment app (apps that check symptoms),Contact tracing app (apps that give you alert on any interaction with people tested positive for coronavirus)",,,"Once the pandemic ends,When it is no longer mandated by the government (local/federal)",,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neither,Neither,Neither,Neither,Neither,Neither,Test
100,1238,TRUE,Yes,Canada,Female,,25-34 years old,Doctorate degree,,No,"I generally install/use very few apps,For privacy concerns",,,Curiosity,,Self-assessment app (apps that check symptoms),,Curiosity,"Once the pandemic ends,If I become aware of any privacy breach",,Uncomfortable,Uncomfortable,Very uncomfortable,Uncomfortable,Uncomfortable,Neutral,Disagree,Agree,Strongly disagree,Disagree,Agree,Comfortable,Comfortable,Very uncomfortable,Comfortable,Very uncomfortable,Neither,It can end up becoming a tool for surveillance if not kept in check
100,6,TRUE,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1305,TRUE,Yes,Canada,Female,,25-34 years old,Master's degree,,No,It is not mandatory in my country of residence,,I usually do not go out a lot so if I want some general numbers about people infected then I just go online,,,,,,,,Very uncomfortable,Very uncomfortable,Very uncomfortable,Very uncomfortable,Very uncomfortable,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,"As long as everything is autonomous, especially for people in the social group (i.e. they are not told exactly who is the person they got close to and just that they were close to a person who has it) it should OK"
100,450,TRUE,Yes,United States,Male,,18-24 years old,High school,,No,"For privacy concerns,It is not mandatory in my country of residence,Other",It depends on who has access to my location information provided by the apps. It is also not advertised by the government and I have not heard much about these apps.,Advertisement from a public agency as well as full transparency in how the information is being used.,,,,,,,,Very uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Neutral,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Very comfortable,Comfortable,Neither,Very comfortable,Uncomfortable,Comfortable,"It is a very good idea, but lacks assurances that the data collected will be used for only COVID tracking. I don't trust my government or large corporations for various reasons, especially with the lack of effective privacy regulations in the US. If such assurances about the data's use were provided, I would consider using the apps. Also, how can you force people to get these apps? People think that COVID is a myth... they wouldn't get an app. The idea of question16 is really smart."
100,177,TRUE,Yes,United States,Male,,18-24 years old,Bachelor's degree,,No,"I generally install/use very few apps,Other",I am unaware of any recommended ones,There being a single one that was commonly used and recommended,,,,,,,,Uncomfortable,Uncomfortable,Uncomfortable,Neutral,Neutral,Agree,Strongly disagree,Agree,Disagree,Disagree,Neutral,Comfortable,Uncomfortable,Very uncomfortable,Uncomfortable,Very uncomfortable,Very uncomfortable,
100,334,TRUE,Yes,United States,Female,,18-24 years old,Bachelor's degree,,No,"I generally install/use very few apps,It is not mandatory in my country of residence",,,,,,,,,,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Agree,Neutral,Strongly agree,Disagree,Disagree,Disagree,Neither,Comfortable,Neither,Comfortable,Uncomfortable,Uncomfortable,
100,368,TRUE,Yes,United States,Male,,18-24 years old,High school,,Yes,,,,"Wellbeing of myself and my family,Curiosity",,"Coronavirus information app (apps that provide information, i.e., apps with map, visualization etc),Self-assessment app (apps that check symptoms)",,"I didn't really have concerns. The apps weren't very invasive as far as privacy goes and even if they were doing things like tracking my location, I think it's worth it to help better equip my community to tackle COVID.","Once the pandemic ends,If I become aware of any privacy breach",,Uncomfortable,Very comfortable,Comfortable,Very comfortable,Comfortable,Agree,Neutral,Agree,Agree,Agree,Disagree,Very comfortable,Very comfortable,Comfortable,Very comfortable,Very comfortable,Very comfortable,"I think it's worth sacrificing privacy to contribute to efforts such as tracking the pandemic, since it's out of the interest of the greater good."
100,135,TRUE,Yes,,Female,,18-24 years old,High school,,No,"I generally install/use very few apps,For privacy concerns",,Validation of data usage and privacy,,,,,,,,Neutral,Neutral,Very uncomfortable,Comfortable,Comfortable,Strongly agree,Neutral,Strongly agree,Disagree,,Strongly disagree,Uncomfortable,Very uncomfortable,Very uncomfortable,Very uncomfortable,Very uncomfortable,Very uncomfortable,N/A
